,0
500,538.688232
501,530.541016
502,530.288391
503,538.789307
504,547.504944
505,539.585083
506,530.919983
507,530.338928
508,538.523987
509,547.542725
510,539.837646
511,530.970459
512,530.364197
513,538.801941
514,547.64386
515,539.660828
516,530.88208
517,530.162109
518,538.397705
519,547.441711
520,539.736633
521,531.008362
522,530.389465
523,537.930359
524,545.963928
525,538.511414
526,530.515747
527,530.439941
528,538.827148
529,547.479614
530,539.673462
531,530.326294
532,529.025269
533,537.955627
534,547.365967
535,539.420837
536,530.743103
537,530.275757
538,538.523987
539,547.328003
540,539.572388
541,530.818909
542,530.338928
543,538.625061
544,547.277588
545,539.496643
546,530.894714
547,530.364197
548,537.892456
549,545.900696
550,538.65033
551,530.692627
552,530.46521
553,538.902954
554,547.479675
555,539.597717
556,531.147339
557,530.629456
558,538.865051
559,547.46698
560,539.382935
561,530.743103
562,530.136841
563,538.372437
564,547.302795
565,539.749268
566,531.374695
567,530.781006
568,538.877686
569,547.567993
570,539.610291
571,530.806274
572,530.124207
573,537.677734
574,545.900757
575,538.839844
576,530.983093
577,530.541016
578,538.738708
579,547.429077
580,539.547119
581,530.919983
582,530.389465
583,538.625061
584,547.454407
585,539.496643
586,530.79364
587,530.364197
588,538.498718
589,547.315369
590,539.660828
591,530.945251
592,530.162109
593,538.246155
594,547.088074
595,539.357727
596,530.945251
597,530.667358
598,538.220825
599,546.254333
600,538.877686
601,530.64209
602,530.149475
603,538.473511
604,547.264954
605,539.597717
606,531.298889
607,530.844177
608,538.789246
609,547.46698
610,539.648193
611,530.945251
612,530.566284
613,539.029297
614,547.631226
615,539.395569
616,530.692566
617,530.351563
618,538.675598
619,547.416443
620,539.559753
621,530.957825
622,530.654724
623,538.359802
624,546.24176
625,538.97876
626,530.919983
627,530.136841
628,538.246094
629,547.201721
630,539.69873
631,530.364197
632,529.075806
633,538.018799
634,547.479675
635,539.774536
636,531.21051
637,530.64209
638,538.80188
639,547.441711
640,539.521851
641,530.983093
642,530.591553
643,538.928223
644,547.757568
645,539.774536
646,531.03363
647,530.55365
648,538.713501
649,547.492249
650,539.749268
651,530.907349
